ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,TIPO
16752,AREA INFANTIL,24,LEGAZPI,2,ARGANZUELA,OPERATIVO,442227.61,4471558.48,ETRS89,40.39262371,-3.68072324,CALLE,ARIEL,7,28045,"CALLE ENRIQUE TIERNO GALVAN FRENTE A LA POLICIA MUNICIPAL, ASCENDIENTE 1: 024  LEGAZPI , A",31011528,16752-FECHA_INSTALACION-ausente,2059,AE21,8,INFANTIL
16754,AREA INFANTIL,24,LEGAZPI,2,ARGANZUELA,OPERATIVO,441275.7,4471019.04,ETRS89,40.38769758,-3.69188895,CALLE,TENIENTE CORONEL NORENA,30,28045,"CALLE TENIENTE CORONEL NORENA 30 , ASCENDIENT",20149326,2006-11-15T00:00:00,2061,AE21,8,INFANTIL
16756,AREA INFANTIL,23,CHOPERA,2,ARGANZUELA,OPERATIVO,440571.32,4472091.49,ETRS89,40.39730881,-3.70028743,CALLE,AGUILON,15,28045,"CALLE AGUILON JUNTO No15 , ASCENDIENTE 1: 023",11008805,16756-FECHA_INSTALACION-ausente,2063,AE21,7,INFANTIL
16758,AREA INFANTIL,27,ATOCHA,2,ARGANZUELA,OPERATIVO,442358.801,4472069.395,ETRS89,40.3972354,-3.67922379,CALLE,ALMEZ,2,28045,"CALLE TEJO C/ ALMEZ ZONA 5, ASCENDIENTE 1: 027  ATOCHA , AS",20139361,16758-FECHA_INSTALACION-ausente,2065,AE21,11,INFANTIL
16760,AREA INFANTIL,25,DELICIAS,2,ARGANZUELA,OPERATIVO,441254.11,4472199.4,ETRS89,40.39832936,-3.69225218,CALLE,TOMAS BRETON,47,28045,"CALLE TOMAS BRETON 47 POST. , ASCENDIENTE 1:",20100962,2007-04-11T00:00:00,2067,AE21,9,INFANTIL
16762,AREA INFANTIL,24,LEGAZPI,2,ARGANZUELA,OPERATIVO,441440.559,4471165.017,ETRS89,40.38902422,-3.68996013,CALLE,HIERRO,10,28045,"CALLE HIERRO 10 , ASCENDIENTE 1: 024  LEGAZP",11009346,2008-03-10T00:00:00,2069,AE21,12,INFANTIL
16764,AREA INFANTIL,24,LEGAZPI,2,ARGANZUELA,OPERATIVO,441627.63,4471056.236,ETRS89,40.38805739,-3.6877462,CALLE,PUERTO DE BEJAR,5,28045,"CALLE PUERTO DE BEJAR PUERTO DE LA CRUZ VERDE, ASCENDIENTE 1: 024 ",20000292,2007-04-04T00:00:00,2071,AE21,8,INFANTIL
16766,AREA INFANTIL,25,DELICIAS,2,ARGANZUELA,OPERATIVO,441968.056,4471986.514,ETRS89,40.39646163,-3.68382033,CALLE,ORIANA,6,28045,"CALLE ESTRELLA NAOS 0 C/ ORIANA, ASCENDIENTE 1: 025  DE",31014547,2007-06-15T00:00:00,2073,AE21,6,INFANTIL
16767,AREA INFANTIL,22,ACACIAS,2,ARGANZUELA,OPERATIVO,439636.32,4472820.652,ETRS89,40.4038102,-3.7113735,PASEO,OLMOS,22,28005,"PASEO LOS OLMOS 22 POST. , ASCENDIENTE 1: 02",20180136,2008-12-10T00:00:00,2075,AE21,5,INFANTIL
16769,AREA INFANTIL,24,LEGAZPI,2,16769-DISTRITO-ausente,OPERATIVO,441387.14,4470866.67,ETRS89,40.38633279,-3.69056203,CALLE,EMBAJADORES,264,28045,"CALLE EMBAJADORES , ASCENDIENTE 1: 024  LEGA",31011603,2009-10-15T00:00:00,2077,AE21,6,INFANTIL
